task,model_rows,minimum,minimum_model,maximum,maximum_model,sample_n,evidence_class,repo_commit_sha
value_prism_relevance,19,0.0,openai/openai/gpt-5-mini,0.7357371794871795,openai/anthropic/claude-sonnet-4,43680,broad current inventory; not canonical MFT primary,b3a348684692f615d789392692ce34a1359192d3
value_prism_valence,23,0.0,openai/minimax/minimax-m1,0.7547619047619047,openai/google/gemma-4-31b-it,21840,broad current inventory; not canonical MFT primary,b3a348684692f615d789392692ce34a1359192d3
