task,metric_semantics,min_score,max_score,mean_score,models,min_n,max_n,median_ci_width,max_ci_width,range_width,task_label,repo_commit_sha
moralbench_mfq_agreement,normalized_preference,0.745717610768652,0.887570098970329,0.8366603195366912,10,20,20,0.21997958654209404,0.2879231414036887,0.14185248820167706,MFQ agreement,b3a348684692f615d789392692ce34a1359192d3
moralbench_mfq_compare,accuracy,0.4,0.6,0.5,8,20,20,0.3946119668649299,0.40140398360357543,0.19999999999999996,MFQ compare,b3a348684692f615d789392692ce34a1359192d3
moralbench_vignette_agreement,normalized_preference,0.8283886403451621,0.92001887001887,0.8906450098479084,9,24,24,0.12419328657616657,0.20047633714227042,0.09163022967370782,Vignette agreement,b3a348684692f615d789392692ce34a1359192d3
moralbench_vignette_compare,accuracy,0.4166666666666667,0.7916666666666666,0.5333333333333333,10,24,24,0.3703380090986952,0.371451483608533,0.37499999999999994,Vignette compare,b3a348684692f615d789392692ce34a1359192d3
unimoral_action_prediction,accuracy,0.6152094717668488,0.6904599271,0.6533356101963388,10,8784,8784,0.019942196104368204,0.020345388887150095,0.07525045533315122,UniMoral action,b3a348684692f615d789392692ce34a1359192d3
unimoral_consequence_generation,meteor,0.0752910485978789,0.1544196926969454,0.12433004399677468,11,1782,1782,0.011894787746663887,0.01233572456471968,0.07912864409906649,UniMoral consequence,b3a348684692f615d789392692ce34a1359192d3
unimoral_factor_attribution,accuracy,0.5518327605956472,0.6093928980526919,0.5833854003957097,11,3492,3492,0.03271128551853786,0.03297073340665424,0.05756013745704469,UniMoral factor,b3a348684692f615d789392692ce34a1359192d3
unimoral_moral_typology,accuracy,0.5756013745704467,0.6506300114547537,0.6201794578083237,9,3492,3492,0.03225053866634742,0.03276843503907201,0.07502863688430705,UniMoral typology,b3a348684692f615d789392692ce34a1359192d3
