model,benchmark,task,metric_semantics,score,stderr,n_scored,ci_method,ci_lower,ci_upper,ci_width,wide_ci_over_0_30,score_source,repo_commit_sha,independent_n_for_width_le_0_20,additional_independent_items
gemma-4-31b-it,UniMoral,unimoral_moral_typology,accuracy,0.6030927835051546,0.008280596813229,3492,Wilson 95%,0.5867606735463722,0.6191983233020972,0.03243764975572505,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
gemma-4-31b-it,UniMoral,unimoral_factor_attribution,accuracy,0.5967926689576174,0.0083023497592943,3492,Wilson 95%,0.5804249243102492,0.6129476893974805,0.03252276508723129,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
gemma-4-31b-it,UniMoral,unimoral_consequence_generation,meteor,0.075637156187135,0.0027283232592217,1782,normal 95% from saved stderr,0.07028974086087753,0.08098457151339247,0.010694830652514947,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
llama-4-scout,UniMoral,unimoral_action_prediction,accuracy,0.6152094717668488,0.005191612289681,8784,Wilson 95%,0.6049864154177228,0.6253318043048729,0.020345388887150095,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
llama-4-scout,UniMoral,unimoral_moral_typology,accuracy,0.5756013745704467,0.0083651353257642,3492,Wilson 95%,0.5591340813249027,0.5919025163639747,0.03276843503907201,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
llama-4-scout,UniMoral,unimoral_factor_attribution,accuracy,0.5695876288659794,0.0083800714672878,3492,Wilson 95%,0.5530977223882536,0.5859246004844632,0.032826878096209544,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
llama-4-scout,UniMoral,unimoral_consequence_generation,meteor,0.1280246214660887,0.0031451192371462,1782,normal 95% from saved stderr,0.12186030103419807,0.13418894189797934,0.01232864086378127,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
glm-5.2,MoralBench,moralbench_mfq_agreement,normalized_preference,0.8523820671878699,0.0479532363857307,20,normal 95% from saved stderr,0.7583954509297021,0.9463686834460378,0.1879732325163357,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
glm-5.2,MoralBench,moralbench_vignette_agreement,normalized_preference,0.8542987206030684,0.0511428625024751,24,normal 95% from saved stderr,0.7540605520319332,0.9545368891742037,0.20047633714227042,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
glm-5.2,MoralBench,moralbench_mfq_compare,accuracy,0.6,0.1123902973898032,20,Wilson 95%,0.3865815007622531,0.781193467627183,0.3946119668649299,True,archive,b3a348684692f615d789392692ce34a1359192d3,89,69
glm-5.2,MoralBench,moralbench_vignette_compare,accuracy,0.5,0.1042572070285374,24,Wilson 95%,0.3142742581957335,0.6857257418042665,0.371451483608533,True,archive,b3a348684692f615d789392692ce34a1359192d3,93,69
glm-5.2,UniMoral,unimoral_factor_attribution,accuracy,0.5810423825887744,0.0083505297410564,3492,Wilson 95%,0.5645976851686711,0.597308970687209,0.03271128551853786,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
glm-5.2,UniMoral,unimoral_consequence_generation,meteor,0.1386253379382561,0.0031058458102975,1782,normal 95% from saved stderr,0.13253799200853839,0.1447126838679738,0.012174691859435427,False,archive,b3a348684692f615d789392692ce34a1359192d3,,
